feature,importance
health_deterioration,0.6795763
body_temp,0.05929017
spo2,0.036663238
pm25_change,0.011182074
heart_rate,0.010755042
pm25_std,0.008829713
aqi_lag7,0.008819606
pm25_rolling_7d,0.0074823094
pressure,0.006788459
temperature_std,0.0062754587
weather_stress,0.005814059
temperature_lag7,0.005729759
pm10,0.0057135765
sick_percentage_std,0.005694372
sleep_hours,0.0056698956
precipitation,0.0055483948
pm25_lag7,0.005444398
pm25_lag1,0.005405636
wind_speed,0.0052591935
pm25_lag3,0.005117882
aqi_pct_change,0.0049931435
pm25_mean,0.0049640946
uncomfortable_weather,0.0048983726
temperature_rolling_7d,0.004733666
pollution_temp_interaction,0.00466969
aqi_lag3,0.0046685366
steps,0.0044916566
o3,0.0044700624
humidity,0.004254528
pm25_pct_change,0.004233183
aqi_rolling_7d,0.004188721
temperature,0.0041538016
temperature_lag3,0.0041444013
weekend_pollution,0.0041350164
pollution_humidity_interaction,0.0039124265
no2,0.0038378492
co,0.003621381
aqi_lag1,0.0036076212
aqi_rolling_3d,0.0035739006
pm25_rolling_3d,0.0034684995
temperature_lag1,0.0033421125
temp_extreme,0.0029825298
pm25,0.0028572192
week_of_year,0.002566192
aqi_change,0.0025490355
temperature_rolling_3d,0.0024238005
aqi,0.0024181243
pollution_spike,0.0010151768
day_of_week,0.00095174345
city_encoded,0.0007193282
is_weekend,0.00066367147
month,0.0005482544
sick_percentage_mean,0.0004033266
temperature_mean,0.00026072588
temp_category_encoded,0.00021863016
critical_health,0.0
respiratory_stress,0.0
num_records,0.0
pollution_level_encoded,0.0
season_encoded,0.0
